,Name,Pos,HT,WT,Age,YOS,Draft Status
17,P.J. Tucker,SF,6-5,245,39,13,2006 Rnd 2 Pick 5
33,Myles Turner,FC,6-11,250,29,9,2015 Rnd 1 Pick 11
5,Hunter Tyson,SF,6-8,215,24,1,2023 Rnd 2 Pick 7
24,Jaylon Tyson,F,6-6,215,22,0,2024 Rnd 1 Pick 20
17,Stanley Umude,G,6-6,210,25,2,"2022 NBA Draft, Undrafted"
17,Jonas Valanciunas,C,6-11,265,32,12,2011 Rnd 1 Pick 5
5,Fred VanVleet,G,6-0,197,31,8,"2016 NBA Draft, Undrafted"
2,Jarred Vanderbilt,PF,6-8,214,25,6,2018 Rnd 2 Pick 11
24,Devin Vassell,SG,6-5,200,24,4,2020 Rnd 1 Pick 11
7,Gabe Vincent,G,6-2,200,28,5,"2018 NBA Draft, Undrafted"
9,Nikola Vucevic,PF,6-10,260,34,13,2011 Rnd 1 Pick 16
0,Tristan Vukcevic,F,7-0,220,22,1,2023 Rnd 2 Pick 12
32,Dean Wade,PF,6-9,228,28,5,"2019 NBA Draft, Undrafted"
22,Franz Wagner,SF,6-10,220,23,3,2021 Rnd 1 Pick 8
21,Moe Wagner,PF,6-11,245,27,6,2018 Rnd 1 Pick 25
34,Jabari Walker,F,6-7,237,22,2,2022 Rnd 2 Pick 27
5,Jarace Walker,G,6-7,235,21,1,2023 Rnd 1 Pick 8
16,Lonnie Walker,SG,6-4,204,26,6,2018 Rnd 1 Pick 18
22,Cason Wallace,G,6-3,195,21,1,2023 Rnd 1 Pick 10
2,Keaton Wallace,G,6-3,185,26,1,"2021 NBA Draft, Undrafted"
27,Jordan Walsh,F,6-6,205,21,1,2023 Rnd 2 Pick 8
14,Ja'Kobe Walter,F,6-5,180,20,0,2024 Rnd 1 Pick 19
7,Kel'el Ware,PF,7-0,230,20,0,2024 Rnd 1 Pick 15
14,"TyTy Washington, Jr.",PG,6-3,195,23,2,2022 Rnd 1 Pick 29
25,P.J. Washington,PF,6-6,230,26,5,2019 Rnd 1 Pick 12
43,Lindy Waters III,SG,6-6,210,27,3,"2020 NBA Draft, Undrafted"
9,Trendon Watford,SF,6-8,237,24,3,"2021 NBA Draft, Undrafted"
21,Anton Watson,SF,6-8,225,24,0,2024 Rnd 2 Pick 24
8,Peyton Watson,GF,6-7,200,22,2,2022 Rnd 1 Pick 30
0,Jaylen Wells,F,6-8,206,21,0,2024 Rnd 2 Pick 9
1,Victor Wembanyama,F,7-3,235,21,1,2023 Rnd 1 Pick 1
14,Blake Wesley,SG,6-3,185,22,2,2022 Rnd 1 Pick 25
4,Russell Westbrook,G,6-4,200,36,16,2008 Rnd 1 Pick 4
36,Phillip Wheeler,F,6-8,185,22,0,"2022 NBA Draft, Undrafted"
0,Coby White,PG,6-5,195,25,5,2019 Rnd 1 Pick 7
9,Derrick White,G,6-4,190,30,7,2017 Rnd 1 Pick 29
0,Dariq Whitehead,F,6-6,220,20,1,2023 Rnd 1 Pick 22
7,Cam Whitmore,F,6-7,230,20,1,2023 Rnd 1 Pick 20
21,Aaron Wiggins,F,6-5,190,26,3,2021 Rnd 2 Pick 25
22,Andrew Wiggins,F,6-7,197,30,10,2014 Rnd 1 Pick 1
10,Brandon Williams,PG,6-1,190,25,2,"2021 NBA Draft, Undrafted"
5,Cody Williams,F,6-7,190,20,0,2024 Rnd 1 Pick 10
2,Grant Williams,SF,6-6,236,26,5,2019 Rnd 1 Pick 22
8,Jalen Williams,G,6-5,211,23,2,2022 Rnd 1 Pick 12
6,Jaylin Williams,C,6-9,240,22,2,2022 Rnd 2 Pick 4
19,"Nate Williams, Jr.",SG,6-5,205,26,2,"2022 NBA Draft, Undrafted"
5,"Vincent Williams, Jr.",SF,6-4,205,24,2,2022 Rnd 2 Pick 17
34,Kenrich Williams,SF,6-6,210,30,6,"2018 NBA Draft, Undrafted"
5,Mark Williams,C,7-0,240,23,2,2022 Rnd 1 Pick 15
44,Patrick Williams,G,6-7,215,23,4,2020 Rnd 1 Pick 4
35,Robert Williams,PF,6-9,249,27,6,2018 Rnd 1 Pick 27
8,Ziaire Williams,F,6-9,185,23,3,2021 Rnd 1 Pick 10
1,Zion Williamson,PF,6-6,284,24,5,2019 Rnd 1 Pick 1
22,Jalen Wilson,F,6-6,220,24,1,2023 Rnd 2 Pick 21
0,Delon Wright,G,6-5,185,32,9,2015 Rnd 1 Pick 20
28,Guerschon Yabusele,PF,6-8,265,29,2,2016 Rnd 1 Pick 16
17,Jahmir Young,PG,6-1,185,24,0,"2024 NBA Draft, Undrafted"
11,Trae Young,PG,6-1,164,26,6,2018 Rnd 1 Pick 5
40,Ivica Zubac,C,7-0,240,28,8,2016 Rnd 2 Pick 2
